Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
Germany,2023,Malware,Telecommunications,3.86,51176.0,Unknown,Social Engineering,Encryption,61.0
Germany,2016,Sql Injection,It,34.35,918452.0,Unknown,Weak Passwords,Ai-Based Detection,16.0
Germany,2023,Ransomware,Healthcare,84.92,152814.0,Nation-State,Social Engineering,Ai-Based Detection,33.0
Usa,2017,Man-In-The-Middle,Retail,74.57,502149.0,Hacker Group,Weak Passwords,Ai-Based Detection,29.0
Uk,2019,Ransomware,Healthcare,89.81,46960.0,Nation-State,Zero-Day,Ai-Based Detection,16.0
Brazil,2017,Sql Injection,Government,40.66,651335.0,Insider,Weak Passwords,Encryption,21.0
Brazil,2018,Ddos,Telecommunications,69.83,587034.0,Hacker Group,Weak Passwords,Ai-Based Detection,35.0
France,2015,Man-In-The-Middle,Healthcare,79.58,856278.0,Hacker Group,Zero-Day,Firewall,71.0
China,2022,Ddos,Banking,79.07,880586.0,Hacker Group,Unpatched Software,Vpn,56.0
Usa,2019,Ddos,Government,81.56,78873.0,Hacker Group,Weak Passwords,Encryption,27.0
Australia,2017,Ddos,Banking,62.81,810106.0,Hacker Group,Weak Passwords,Encryption,66.0
Germany,2021,Phishing,Government,28.71,937384.0,Hacker Group,Zero-Day,Encryption,67.0
Japan,2023,Phishing,Retail,36.68,231307.0,Unknown,Zero-Day,Encryption,4.0
China,2016,Ddos,It,71.75,816710.0,Hacker Group,Weak Passwords,Vpn,60.0
Usa,2019,Man-In-The-Middle,Telecommunications,17.21,896828.0,Unknown,Weak Passwords,Firewall,33.0
Uk,2016,Ddos,Telecommunications,48.47,937466.0,Hacker Group,Social Engineering,Ai-Based Detection,28.0
China,2020,Ddos,Banking,11.72,81518.0,Nation-State,Social Engineering,Vpn,47.0
Brazil,2015,Malware,It,1.35,371048.0,Hacker Group,Zero-Day,Vpn,56.0
Usa,2019,Phishing,Banking,20.13,25946.0,Hacker Group,Weak Passwords,Ai-Based Detection,68.0
France,2017,Man-In-The-Middle,Education,14.99,942088.0,Insider,Zero-Day,Ai-Based Detection,46.0
Japan,2015,Malware,Telecommunications,28.8,915532.0,Insider,Zero-Day,Antivirus,68.0
Usa,2018,Sql Injection,Government,99.49,755576.0,Insider,Weak Passwords,Ai-Based Detection,23.0
Brazil,2018,Malware,Education,6.3,661644.0,Insider,Social Engineering,Ai-Based Detection,29.0
Uk,2019,Ddos,Telecommunications,95.75,168951.0,Unknown,Social Engineering,Vpn,13.0
Russia,2022,Man-In-The-Middle,It,49.87,816398.0,Insider,Social Engineering,Encryption,39.0
India,2017,Ddos,Education,83.49,79933.0,Hacker Group,Zero-Day,Ai-Based Detection,23.0
Usa,2019,Malware,Government,83.84,506149.0,Nation-State,Social Engineering,Encryption,35.0
Japan,2021,Phishing,Retail,81.26,245015.0,Nation-State,Zero-Day,Firewall,41.0
Japan,2017,Sql Injection,Banking,66.81,966993.0,Hacker Group,Social Engineering,Vpn,64.0
Australia,2016,Malware,Education,88.87,235062.0,Nation-State,Weak Passwords,Firewall,32.0
Brazil,2022,Phishing,Healthcare,75.08,132520.0,Unknown,Zero-Day,Antivirus,56.0
Germany,2016,Sql Injection,Retail,56.57,869605.0,Unknown,Social Engineering,Vpn,36.0
Usa,2017,Phishing,Banking,96.27,637264.0,Hacker Group,Unpatched Software,Ai-Based Detection,11.0
Russia,2021,Ddos,Banking,45.6,759356.0,Insider,Social Engineering,Vpn,1.0
Brazil,2021,Ddos,Education,69.37,666096.0,Hacker Group,Zero-Day,Encryption,9.0
India,2021,Sql Injection,Telecommunications,68.91,851981.0,Unknown,Zero-Day,Ai-Based Detection,57.0
Australia,2022,Phishing,Banking,14.97,214740.0,Nation-State,Zero-Day,Encryption,57.0
Brazil,2016,Phishing,Government,35.94,372653.0,Hacker Group,Weak Passwords,Vpn,60.0
India,2024,Phishing,Banking,64.23,903871.0,Nation-State,Unpatched Software,Encryption,17.0
India,2015,Malware,Education,64.29,924049.0,Nation-State,Social Engineering,Vpn,5.0
Uk,2020,Malware,Government,98.05,193983.0,Nation-State,Zero-Day,Antivirus,31.0
Russia,2021,Ransomware,Telecommunications,50.99,904330.0,Nation-State,Weak Passwords,Vpn,49.0
India,2018,Sql Injection,Education,52.05,505132.5,Nation-State,Zero-Day,Antivirus,11.0
Germany,2020,Man-In-The-Middle,Healthcare,28.81,691190.0,Nation-State,Unpatched Software,Firewall,27.0
China,2024,Ddos,It,61.42,412245.0,Nation-State,Social Engineering,Encryption,48.0
France,2021,Man-In-The-Middle,Healthcare,53.77,302180.0,Insider,Weak Passwords,Ai-Based Detection,11.0
Usa,2016,Ransomware,Government,8.21,537592.0,Nation-State,Zero-Day,Antivirus,11.0
Brazil,2022,Sql Injection,Retail,25.85,632061.0,Nation-State,Zero-Day,Antivirus,2.0
Brazil,2015,Ddos,Retail,67.52,224815.0,Nation-State,Social Engineering,Firewall,32.0
India,2022,Ddos,It,23.91,169310.0,Unknown,Weak Passwords,Encryption,36.0
Japan,2023,Man-In-The-Middle,Telecommunications,50.99,635827.0,Nation-State,Social Engineering,Encryption,72.0
Uk,2022,Ransomware,It,63.67,560021.0,Unknown,Zero-Day,Encryption,43.0
Japan,2021,Man-In-The-Middle,Banking,61.03,505132.5,Nation-State,Zero-Day,Ai-Based Detection,11.0
Australia,2018,Phishing,Healthcare,39.94,755469.0,Hacker Group,Social Engineering,Antivirus,58.0
India,2022,Ransomware,Retail,74.05,205336.0,Hacker Group,Social Engineering,Ai-Based Detection,2.0
France,2020,Ddos,It,7.52,957779.0,Nation-State,Social Engineering,Encryption,17.0
Uk,2017,Malware,Education,29.47,85644.0,Hacker Group,Social Engineering,Ai-Based Detection,3.0
France,2019,Man-In-The-Middle,Telecommunications,75.99,561713.0,Insider,Unpatched Software,Firewall,31.0
Germany,2022,Phishing,Banking,53.57,287762.0,Insider,Weak Passwords,Encryption,13.0
India,2015,Phishing,Healthcare,50.99,471550.0,Unknown,Zero-Day,Vpn,5.0
Japan,2018,Sql Injection,Banking,69.19,33209.0,Insider,Unpatched Software,Ai-Based Detection,66.0
China,2017,Phishing,Banking,45.83,395251.0,Unknown,Unpatched Software,Encryption,33.0
Germany,2019,Ddos,It,14.77,491791.0,Hacker Group,Zero-Day,Encryption,66.0
Australia,2016,Phishing,Healthcare,53.81,279874.0,Hacker Group,Unpatched Software,Ai-Based Detection,66.0
France,2019,Malware,It,71.94,881326.0,Insider,Unpatched Software,Firewall,36.0
Uk,2023,Ddos,It,68.86,749700.0,Nation-State,Zero-Day,Ai-Based Detection,35.0
Uk,2022,Phishing,Government,97.56,722445.0,Nation-State,Weak Passwords,Firewall,10.0
Usa,2023,Ransomware,Government,84.13,695841.0,Nation-State,Zero-Day,Ai-Based Detection,21.0
Usa,2020,Sql Injection,Government,40.95,803757.0,Hacker Group,Social Engineering,Firewall,33.0
Japan,2022,Ddos,It,20.16,174510.0,Insider,Zero-Day,Ai-Based Detection,60.0
Germany,2022,Sql Injection,Retail,11.51,857660.0,Hacker Group,Zero-Day,Antivirus,37.0
Uk,2020,Sql Injection,Banking,47.67,729265.0,Unknown,Zero-Day,Firewall,42.0
India,2023,Phishing,Retail,38.89,836604.0,Hacker Group,Unpatched Software,Ai-Based Detection,44.0
China,2016,Malware,Government,91.69,885843.0,Unknown,Unpatched Software,Ai-Based Detection,46.0
France,2015,Man-In-The-Middle,Education,17.94,808798.0,Unknown,Social Engineering,Encryption,60.0
Russia,2018,Man-In-The-Middle,Telecommunications,30.5,401208.0,Unknown,Unpatched Software,Vpn,10.0
Japan,2021,Ransomware,Banking,77.33,380970.0,Nation-State,Weak Passwords,Encryption,44.0
Usa,2021,Phishing,Healthcare,70.03,248437.0,Hacker Group,Social Engineering,Encryption,70.0
Australia,2024,Sql Injection,Retail,66.49,709125.0,Hacker Group,Weak Passwords,Ai-Based Detection,36.0
Japan,2018,Malware,Education,5.33,656250.0,Hacker Group,Social Engineering,Firewall,67.0
India,2020,Ransomware,Healthcare,10.46,505132.5,Unknown,Unpatched Software,Firewall,63.0
Australia,2017,Phishing,Healthcare,39.3,290846.0,Unknown,Weak Passwords,Firewall,3.0
India,2023,Ddos,Banking,23.83,557428.0,Insider,Zero-Day,Vpn,38.0
Japan,2015,Ddos,Banking,59.13,182440.0,Insider,Zero-Day,Firewall,8.0
Australia,2021,Ddos,Government,30.24,292383.0,Insider,Social Engineering,Encryption,36.0
Uk,2017,Ddos,Government,86.82,99728.0,Nation-State,Unpatched Software,Vpn,44.0
Usa,2015,Ddos,It,66.39,365006.0,Insider,Weak Passwords,Vpn,47.0
Russia,2019,Ransomware,Telecommunications,61.11,605427.0,Unknown,Zero-Day,Encryption,33.0
Usa,2022,Malware,Retail,7.65,864358.0,Hacker Group,Unpatched Software,Vpn,11.0
Usa,2016,Ransomware,Retail,9.82,610968.0,Unknown,Unpatched Software,Antivirus,26.0
China,2016,Ddos,It,67.28,413150.0,Hacker Group,Social Engineering,Firewall,27.0
Usa,2017,Malware,Education,13.14,681956.0,Nation-State,Social Engineering,Antivirus,35.0
Australia,2016,Man-In-The-Middle,It,84.46,94162.0,Unknown,Weak Passwords,Firewall,15.0
France,2023,Man-In-The-Middle,Retail,9.43,565002.0,Hacker Group,Unpatched Software,Firewall,72.0
France,2017,Phishing,Retail,90.69,275185.0,Nation-State,Zero-Day,Encryption,20.0
Russia,2021,Ddos,Retail,37.47,476758.0,Hacker Group,Unpatched Software,Ai-Based Detection,19.0
Usa,2024,Sql Injection,Banking,7.2,312607.0,Hacker Group,Zero-Day,Antivirus,24.0
Russia,2017,Phishing,Banking,94.15,963192.0,Hacker Group,Weak Passwords,Vpn,7.0
Australia,2022,Malware,Healthcare,42.15,680874.0,Unknown,Zero-Day,Antivirus,36.0
France,2018,Ddos,Government,15.71,904770.0,Hacker Group,Social Engineering,Antivirus,4.0
Usa,2022,Sql Injection,Government,98.46,429452.0,Hacker Group,Weak Passwords,Antivirus,6.0
Usa,2018,Ransomware,Healthcare,51.71,858128.0,Hacker Group,Social Engineering,Antivirus,36.0
China,2021,Malware,Education,42.26,615849.0,Nation-State,Unpatched Software,Encryption,44.0
Uk,2019,Phishing,Education,99.45,467349.0,Nation-State,Zero-Day,Firewall,44.0
France,2021,Sql Injection,Retail,63.74,235418.0,Unknown,Weak Passwords,Encryption,28.0
Australia,2017,Sql Injection,It,5.05,823606.0,Insider,Weak Passwords,Encryption,25.0
China,2020,Sql Injection,It,89.38,923489.0,Nation-State,Unpatched Software,Firewall,66.0
Usa,2024,Phishing,It,58.57,630793.0,Hacker Group,Social Engineering,Ai-Based Detection,64.0
France,2015,Sql Injection,Education,65.83,691903.0,Unknown,Zero-Day,Vpn,54.0
Uk,2019,Phishing,Government,79.79,133632.0,Hacker Group,Weak Passwords,Firewall,8.0
Australia,2017,Phishing,Banking,90.5,42278.0,Insider,Weak Passwords,Ai-Based Detection,45.0
Germany,2016,Phishing,It,2.1,176471.0,Unknown,Zero-Day,Vpn,9.0
India,2015,Sql Injection,Telecommunications,63.72,916516.0,Hacker Group,Social Engineering,Encryption,68.0
Japan,2023,Sql Injection,Government,87.8,510002.0,Hacker Group,Social Engineering,Firewall,62.0
Uk,2015,Malware,It,82.45,435994.0,Nation-State,Unpatched Software,Encryption,51.0
India,2016,Ransomware,It,66.19,537670.0,Hacker Group,Unpatched Software,Encryption,55.0
Russia,2022,Malware,Banking,39.62,850339.0,Hacker Group,Social Engineering,Firewall,36.0
Japan,2021,Ddos,Government,35.46,937562.0,Unknown,Zero-Day,Antivirus,10.0
France,2020,Malware,Government,10.62,405267.0,Nation-State,Unpatched Software,Ai-Based Detection,5.0
China,2022,Ddos,Government,80.76,346279.0,Unknown,Zero-Day,Encryption,59.0
Brazil,2016,Ddos,Telecommunications,10.45,889928.0,Nation-State,Zero-Day,Encryption,63.0
France,2022,Sql Injection,Healthcare,0.95,376206.0,Unknown,Unpatched Software,Antivirus,44.0
India,2018,Ransomware,It,27.14,227433.0,Unknown,Unpatched Software,Antivirus,13.0
Germany,2023,Ransomware,Healthcare,54.79,393779.0,Nation-State,Weak Passwords,Encryption,39.0
Russia,2022,Ransomware,It,41.08,529025.0,Insider,Unpatched Software,Ai-Based Detection,42.0
Brazil,2024,Man-In-The-Middle,Education,8.94,451311.0,Unknown,Weak Passwords,Encryption,14.0
India,2017,Ransomware,Education,98.11,677198.0,Unknown,Social Engineering,Vpn,28.0
Russia,2024,Man-In-The-Middle,Healthcare,9.4,480988.0,Nation-State,Unpatched Software,Encryption,59.0
Australia,2015,Ransomware,Telecommunications,46.39,605536.0,Nation-State,Unpatched Software,Vpn,61.0
Brazil,2018,Ransomware,Banking,30.61,910960.0,Unknown,Social Engineering,Antivirus,31.0
China,2018,Ransomware,Banking,43.98,386308.0,Nation-State,Weak Passwords,Antivirus,3.0
Australia,2017,Man-In-The-Middle,Banking,54.38,100855.0,Unknown,Social Engineering,Vpn,2.0
China,2023,Malware,Education,23.74,317922.0,Insider,Social Engineering,Antivirus,18.0
Usa,2018,Ddos,It,82.13,220618.0,Unknown,Weak Passwords,Firewall,59.0
India,2015,Ransomware,Telecommunications,24.7,825941.0,Hacker Group,Unpatched Software,Vpn,54.0
China,2022,Malware,Education,60.9,331234.0,Unknown,Social Engineering,Antivirus,3.0
China,2020,Man-In-The-Middle,Telecommunications,14.61,855055.0,Hacker Group,Unpatched Software,Antivirus,59.0
Japan,2022,Ddos,Telecommunications,34.31,305329.0,Unknown,Unpatched Software,Firewall,40.0
Japan,2020,Phishing,Government,32.39,442923.0,Nation-State,Social Engineering,Encryption,57.0
Uk,2015,Ransomware,Banking,79.3,893277.0,Unknown,Social Engineering,Firewall,15.0
China,2020,Malware,Healthcare,30.86,240532.0,Insider,Weak Passwords,Encryption,64.0
Usa,2016,Ddos,Healthcare,93.14,947960.0,Nation-State,Weak Passwords,Firewall,55.0
Brazil,2018,Malware,Healthcare,52.87,437283.0,Insider,Zero-Day,Antivirus,30.0
China,2019,Malware,Healthcare,29.61,761390.0,Insider,Weak Passwords,Antivirus,7.0
France,2019,Phishing,Retail,25.75,998507.0,Insider,Weak Passwords,Antivirus,15.0
India,2017,Ddos,Retail,82.17,593329.0,Hacker Group,Unpatched Software,Ai-Based Detection,62.0
Uk,2019,Phishing,Banking,60.07,197590.0,Insider,Zero-Day,Encryption,36.0
Japan,2017,Ransomware,Banking,50.75,53111.0,Hacker Group,Social Engineering,Antivirus,15.0
Australia,2017,Phishing,Retail,14.88,69641.0,Hacker Group,Unpatched Software,Firewall,54.0
Germany,2022,Ddos,It,73.98,953770.0,Insider,Weak Passwords,Firewall,54.0
Japan,2023,Sql Injection,Retail,42.33,505132.5,Nation-State,Weak Passwords,Vpn,20.0
Brazil,2022,Man-In-The-Middle,Education,77.98,899279.0,Insider,Zero-Day,Firewall,36.0
India,2016,Ransomware,Education,8.55,857887.0,Unknown,Social Engineering,Firewall,44.0
Russia,2016,Phishing,Government,30.57,503775.0,Unknown,Zero-Day,Vpn,71.0
Japan,2015,Sql Injection,It,36.98,452892.0,Unknown,Weak Passwords,Vpn,17.0
Russia,2018,Ransomware,Healthcare,24.06,327566.0,Unknown,Unpatched Software,Ai-Based Detection,6.0
Australia,2022,Ransomware,Education,50.66,851204.0,Insider,Zero-Day,Firewall,3.0
Uk,2017,Man-In-The-Middle,Government,79.27,923309.0,Hacker Group,Unpatched Software,Firewall,29.0
Brazil,2023,Phishing,Banking,71.86,151590.0,Nation-State,Zero-Day,Antivirus,30.0
Uk,2022,Ddos,Education,21.01,452432.0,Nation-State,Unpatched Software,Firewall,8.0
Japan,2015,Ransomware,Retail,95.38,769596.0,Nation-State,Weak Passwords,Vpn,65.0
Germany,2022,Phishing,Banking,14.79,407151.0,Unknown,Zero-Day,Antivirus,37.0
Brazil,2023,Phishing,It,45.97,312555.0,Unknown,Social Engineering,Ai-Based Detection,67.0
Brazil,2019,Man-In-The-Middle,Government,76.39,311908.0,Unknown,Weak Passwords,Encryption,68.0
China,2018,Malware,Banking,68.55,59979.0,Insider,Zero-Day,Firewall,41.0
Japan,2019,Malware,It,9.86,233545.0,Unknown,Zero-Day,Antivirus,55.0
France,2020,Man-In-The-Middle,Retail,89.85,722081.0,Hacker Group,Zero-Day,Vpn,33.0
Russia,2024,Sql Injection,Healthcare,76.99,873037.0,Nation-State,Unpatched Software,Antivirus,31.0
India,2022,Malware,It,12.08,482213.0,Nation-State,Social Engineering,Ai-Based Detection,3.0
India,2020,Phishing,Education,39.72,512850.0,Hacker Group,Zero-Day,Antivirus,15.0
China,2023,Man-In-The-Middle,Telecommunications,37.73,849834.0,Hacker Group,Zero-Day,Ai-Based Detection,56.0
Brazil,2022,Malware,Retail,50.99,660707.0,Insider,Unpatched Software,Firewall,11.0
Usa,2021,Ransomware,Education,6.77,697935.0,Unknown,Social Engineering,Ai-Based Detection,16.0
Russia,2019,Malware,It,71.92,500655.0,Nation-State,Zero-Day,Ai-Based Detection,8.0
Usa,2020,Ransomware,Banking,95.79,239343.0,Nation-State,Zero-Day,Vpn,63.0
China,2023,Phishing,Retail,90.04,143728.0,Unknown,Zero-Day,Ai-Based Detection,57.0
Usa,2020,Phishing,Retail,99.64,464717.0,Insider,Weak Passwords,Vpn,27.0
Russia,2018,Sql Injection,Education,1.25,351063.0,Nation-State,Weak Passwords,Firewall,56.0
Australia,2015,Ddos,Government,13.96,479025.0,Nation-State,Zero-Day,Antivirus,54.0
Germany,2021,Ddos,Banking,1.62,823004.0,Nation-State,Zero-Day,Encryption,22.0
Uk,2021,Ddos,Education,18.47,394957.0,Hacker Group,Weak Passwords,Antivirus,27.0
France,2019,Phishing,Telecommunications,50.99,96640.0,Unknown,Social Engineering,Antivirus,60.0
Russia,2024,Ddos,Education,19.5,325634.0,Insider,Weak Passwords,Firewall,5.0
France,2023,Sql Injection,Government,29.63,662667.0,Hacker Group,Zero-Day,Vpn,30.0
Usa,2024,Phishing,It,57.24,107681.0,Unknown,Zero-Day,Vpn,18.0
Russia,2017,Phishing,Banking,3.2,982243.0,Insider,Zero-Day,Encryption,6.0
Japan,2022,Sql Injection,Government,79.19,950425.0,Unknown,Social Engineering,Antivirus,54.0
Brazil,2017,Ransomware,Education,80.5,279808.0,Insider,Social Engineering,Antivirus,60.0
India,2024,Sql Injection,Telecommunications,71.2,190099.0,Unknown,Zero-Day,Ai-Based Detection,15.0
Brazil,2019,Malware,Banking,12.04,713035.0,Nation-State,Social Engineering,Ai-Based Detection,59.0
Australia,2016,Malware,Retail,29.05,817347.0,Nation-State,Zero-Day,Antivirus,68.0
Germany,2023,Ransomware,Healthcare,28.18,707214.0,Unknown,Weak Passwords,Ai-Based Detection,11.0
Uk,2016,Ddos,Retail,39.26,668780.0,Hacker Group,Zero-Day,Firewall,36.0
Russia,2015,Ddos,Telecommunications,57.21,609196.0,Unknown,Social Engineering,Vpn,4.0
Usa,2021,Man-In-The-Middle,Telecommunications,83.88,980367.0,Nation-State,Unpatched Software,Firewall,3.0
Russia,2022,Man-In-The-Middle,It,84.1,919858.0,Nation-State,Unpatched Software,Encryption,47.0
France,2017,Ddos,Healthcare,39.49,195459.0,Hacker Group,Weak Passwords,Encryption,14.0
Russia,2015,Man-In-The-Middle,Banking,46.76,713342.0,Unknown,Weak Passwords,Encryption,36.0
Uk,2019,Ddos,Banking,80.68,19007.0,Nation-State,Unpatched Software,Vpn,29.0
China,2022,Ransomware,Government,86.56,963091.0,Insider,Zero-Day,Vpn,37.0
Uk,2017,Malware,Government,66.25,726887.0,Hacker Group,Social Engineering,Firewall,36.0
Russia,2021,Ddos,It,78.76,130413.0,Unknown,Social Engineering,Encryption,66.0
Germany,2022,Malware,Banking,97.68,906914.0,Hacker Group,Zero-Day,Ai-Based Detection,15.0
China,2020,Ransomware,It,14.94,557218.0,Nation-State,Zero-Day,Firewall,70.0
Russia,2018,Sql Injection,Banking,59.29,380543.0,Unknown,Weak Passwords,Vpn,26.0
Uk,2022,Malware,Retail,39.55,337363.0,Insider,Social Engineering,Vpn,2.0
China,2018,Ddos,It,14.04,803086.0,Nation-State,Social Engineering,Vpn,23.0
China,2024,Man-In-The-Middle,It,63.79,195858.0,Hacker Group,Zero-Day,Encryption,1.0
India,2019,Malware,Banking,37.03,358371.0,Insider,Weak Passwords,Ai-Based Detection,30.0
Australia,2019,Phishing,Retail,9.12,212267.0,Insider,Zero-Day,Antivirus,14.0
France,2021,Man-In-The-Middle,Healthcare,52.04,757744.0,Nation-State,Zero-Day,Antivirus,43.0
Japan,2017,Ransomware,Retail,59.13,747705.0,Insider,Unpatched Software,Vpn,47.0
Usa,2024,Phishing,Telecommunications,64.67,996651.0,Hacker Group,Weak Passwords,Encryption,69.0
Uk,2015,Phishing,Government,52.78,281905.0,Insider,Social Engineering,Vpn,32.0
Brazil,2019,Man-In-The-Middle,Healthcare,7.44,739981.0,Unknown,Social Engineering,Antivirus,54.0
France,2016,Sql Injection,Telecommunications,47.19,554448.0,Hacker Group,Social Engineering,Antivirus,31.0
Usa,2016,Ransomware,Healthcare,99.19,745103.0,Insider,Unpatched Software,Encryption,8.0
India,2022,Ddos,Healthcare,10.94,600279.0,Insider,Unpatched Software,Ai-Based Detection,16.0
Russia,2016,Man-In-The-Middle,It,48.86,973654.0,Unknown,Unpatched Software,Antivirus,23.0
China,2016,Ddos,Telecommunications,80.48,78123.0,Hacker Group,Social Engineering,Antivirus,50.0
Uk,2015,Man-In-The-Middle,Government,69.96,675955.0,Insider,Zero-Day,Antivirus,60.0
China,2016,Ddos,It,18.96,122866.0,Insider,Unpatched Software,Vpn,46.0
Russia,2018,Ransomware,Education,66.33,177570.0,Nation-State,Social Engineering,Encryption,72.0
France,2024,Man-In-The-Middle,Retail,60.4,774913.0,Unknown,Unpatched Software,Antivirus,43.0
China,2024,Phishing,It,24.92,852327.0,Unknown,Zero-Day,Vpn,44.0
Australia,2022,Ddos,It,32.06,775033.0,Hacker Group,Zero-Day,Antivirus,8.0
China,2022,Phishing,Telecommunications,71.77,823093.0,Insider,Zero-Day,Firewall,36.0
France,2018,Phishing,Government,70.59,947445.0,Insider,Social Engineering,Encryption,59.0
Japan,2018,Ddos,It,75.34,972713.0,Unknown,Unpatched Software,Encryption,71.0
France,2023,Malware,Banking,9.99,116840.0,Unknown,Zero-Day,Firewall,51.0
Usa,2021,Ransomware,Telecommunications,91.94,710953.0,Unknown,Zero-Day,Firewall,9.0
Russia,2015,Ddos,It,66.09,467190.0,Nation-State,Social Engineering,Ai-Based Detection,25.0
Germany,2024,Phishing,Healthcare,66.73,540773.0,Unknown,Zero-Day,Vpn,15.0
Australia,2018,Sql Injection,Banking,40.11,874040.0,Unknown,Social Engineering,Firewall,6.0
Australia,2022,Phishing,Healthcare,60.71,8498.0,Nation-State,Weak Passwords,Vpn,17.0
Usa,2016,Ddos,It,18.48,112881.0,Hacker Group,Social Engineering,Vpn,32.0
Japan,2018,Ddos,It,9.9,942725.0,Insider,Zero-Day,Vpn,56.0
France,2024,Phishing,Education,52.03,168684.0,Nation-State,Unpatched Software,Vpn,36.0
Japan,2018,Ddos,Telecommunications,25.06,559274.0,Hacker Group,Social Engineering,Firewall,27.0
Uk,2016,Phishing,Retail,13.68,144856.0,Unknown,Unpatched Software,Antivirus,13.0
Japan,2015,Malware,Banking,2.63,418914.0,Nation-State,Unpatched Software,Firewall,53.0
Brazil,2024,Phishing,Retail,88.47,842945.0,Hacker Group,Weak Passwords,Firewall,67.0
Uk,2022,Phishing,Government,50.04,841198.0,Unknown,Zero-Day,Vpn,41.0
Germany,2024,Phishing,Government,19.52,50054.0,Insider,Unpatched Software,Antivirus,24.0
Brazil,2020,Ddos,Telecommunications,4.52,52302.0,Unknown,Social Engineering,Vpn,58.0
India,2015,Man-In-The-Middle,Banking,97.28,694308.0,Nation-State,Weak Passwords,Vpn,66.0
China,2019,Malware,Telecommunications,62.67,520232.0,Nation-State,Weak Passwords,Encryption,53.0
Germany,2018,Sql Injection,Retail,46.34,575379.0,Unknown,Zero-Day,Ai-Based Detection,35.0
Russia,2023,Man-In-The-Middle,It,26.45,850714.0,Hacker Group,Unpatched Software,Encryption,6.0
Germany,2023,Sql Injection,Healthcare,14.12,403325.0,Hacker Group,Weak Passwords,Ai-Based Detection,35.0
Brazil,2022,Phishing,Education,80.99,345577.0,Insider,Unpatched Software,Encryption,4.0
Australia,2017,Man-In-The-Middle,It,30.51,428352.0,Hacker Group,Unpatched Software,Firewall,41.0
Brazil,2023,Phishing,Banking,69.45,852592.0,Nation-State,Zero-Day,Ai-Based Detection,12.0
Usa,2019,Sql Injection,Education,78.12,36804.0,Unknown,Weak Passwords,Vpn,30.0
Brazil,2020,Phishing,Telecommunications,92.63,725707.0,Hacker Group,Weak Passwords,Ai-Based Detection,9.0
Australia,2017,Man-In-The-Middle,Telecommunications,35.27,765929.0,Nation-State,Weak Passwords,Firewall,16.0
Russia,2017,Man-In-The-Middle,Retail,50.99,242574.0,Nation-State,Social Engineering,Encryption,59.0
Usa,2021,Sql Injection,Education,45.52,838652.0,Unknown,Social Engineering,Encryption,20.0
Japan,2018,Ddos,Telecommunications,99.04,389405.0,Nation-State,Weak Passwords,Antivirus,53.0
Russia,2022,Phishing,Telecommunications,56.44,359577.0,Unknown,Zero-Day,Encryption,38.0
India,2022,Man-In-The-Middle,Telecommunications,73.24,943689.0,Insider,Zero-Day,Firewall,32.0
Brazil,2024,Sql Injection,Education,14.69,783795.0,Insider,Weak Passwords,Ai-Based Detection,43.0
Germany,2017,Ddos,Healthcare,72.05,263506.0,Insider,Zero-Day,Encryption,49.0
Australia,2020,Ddos,Telecommunications,20.59,457184.0,Insider,Social Engineering,Vpn,11.0
India,2019,Sql Injection,Banking,68.44,186842.0,Nation-State,Zero-Day,Vpn,40.0
Uk,2018,Ddos,Banking,8.81,198929.0,Nation-State,Weak Passwords,Ai-Based Detection,41.0
Japan,2018,Sql Injection,Retail,51.58,65700.0,Hacker Group,Zero-Day,Antivirus,28.0
Brazil,2021,Phishing,Telecommunications,83.79,90156.0,Hacker Group,Unpatched Software,Antivirus,65.0
Australia,2015,Ddos,Telecommunications,14.55,470471.0,Nation-State,Unpatched Software,Vpn,53.0
China,2021,Malware,Retail,20.52,33426.0,Unknown,Social Engineering,Antivirus,16.0
Russia,2024,Malware,Education,83.29,143037.0,Insider,Unpatched Software,Firewall,47.0
Germany,2022,Ransomware,Telecommunications,79.77,151930.0,Unknown,Zero-Day,Encryption,4.0
China,2018,Malware,Education,97.2,499651.0,Nation-State,Zero-Day,Encryption,50.0
Brazil,2017,Ddos,Education,41.63,249211.0,Insider,Zero-Day,Ai-Based Detection,59.0
Germany,2024,Sql Injection,It,1.01,470074.0,Insider,Weak Passwords,Encryption,9.0
Japan,2015,Phishing,Banking,87.5,429920.0,Nation-State,Zero-Day,Encryption,37.0
Australia,2019,Sql Injection,Healthcare,0.75,269314.0,Unknown,Social Engineering,Vpn,64.0
Uk,2019,Man-In-The-Middle,Healthcare,37.16,696199.0,Nation-State,Weak Passwords,Encryption,42.0
Russia,2020,Phishing,Banking,98.38,355505.0,Nation-State,Unpatched Software,Ai-Based Detection,35.0
Australia,2023,Ddos,It,55.94,890234.0,Nation-State,Unpatched Software,Vpn,53.0
Brazil,2019,Ransomware,Telecommunications,23.63,581616.0,Insider,Social Engineering,Encryption,1.0
China,2022,Sql Injection,It,39.44,155768.0,Nation-State,Social Engineering,Ai-Based Detection,19.0
Australia,2024,Malware,Telecommunications,83.69,824298.0,Nation-State,Unpatched Software,Firewall,4.0
Uk,2018,Malware,Government,28.88,212533.0,Insider,Unpatched Software,Antivirus,71.0
